id;name;code;abr
230;Southern Altai;sal;\N
231;Southeastern Tepehuan;set;\N
232;Southern Hindko;shi;\N
233;South Levantine Arabic;sla;\N
234;Southern Ohlone;soh;\N
235;South Marquesan;som;\N
236;South Picene;spi;\N
237;Southern Sama;ssa;\N
238;Southern Sami;ssi;\N
239;South Slavey;ssl;\N
240;Southern Yukaghir;syu;\N
241;Western Kayah;wka;\N
242;Western Mari;wma;\N
243;Western Arrernte;wrr;\N
244;Aari;aar;\N
245;Abau;aba;\N
246;Abenaki;abe;\N
247;Abkhaz;abk;\N
248;Abanyom;abn;\N
249;Abu;abu;\N
250;Abaza;abz;\N
251;Acehnese;ace;\N
252;Acholi;ach;\N
253;Achuar-Shiwiar;acr;\N
254;Achumawi;acu;\N
255;Adangme;ada;\N
256;Adele;ade;\N
257;Adioukrou;adi;\N
258;Adnyamathanha;adn;\N
259;Adyghe;ady;\N
260;Adzera;adz;\N
261;Alemannic German;ag;\N
262;Aghul;agh;\N
263;Aguaruna;agu;\N
264;Ainu;ain;\N
265;Akawaio;aka;\N
266;Akkadian;akk;\N
267;Aklanon;akl;\N
268;Akkala Sami;aks;\N
269;Alabama;al;\N
270;Alcozauca Mixtec;alc;\N
271;Aleut;ale;\N
272;Alamblak;alm;\N
273;Alutiiq;alt;\N
274;Alutor;alu;\N
275;Alviri-Vidari;alv;\N
276;Ama;ama;\N
277;Ambai;amb;\N
278;Amaimon;ami;\N
279;Ambonese Malay;amm;\N
280;Amanab;amn;\N
281;Ammonite;amo;\N
282;American Sign Language;ams;\N
283;Ambulas;amu;\N
284;Amuzgo;amz;\N
285;Annobonese;anb;\N
286;Antillean Creole;anc;\N
287;Angaataha;anga;\N
288;Angolar;angl;\N
289;Angor;angr;\N
290;Ankave;ank;\N
291;Angloromani;anr;\N
292;Ansus;ans;\N
293;Anuta;anu;\N
294;Aneme Wake;anw;\N
295;Apala�;apa;\N
296;Aramaic;aram;\N
297;Arapaho;arap;\N
298;Arawak;araw;\N
299;Arabela;arb;\N
300;Archi;arc;\N
301;'Are'are;are;\N
302;Argobba;arg;\N
303;Arin;ari;\N
304;Assan;ass;\N
305;Atayal;ata;\N
306;Auhelawa;auh;\N
307;'Auhelawa;auhe;\N
308;Avestan;ave;\N
309;Awabakal;awab;\N
310;Awadhi;awad;\N
311;Aymara;aym;\N
312;Aynu;ayn;\N
313;Azeri;aze;\N
314;Bactrian;bac;\N
315;Baekje;bae;\N
316;Balinese;bali;\N
317;Balti;balt;\N
318;Baluchi;balu;\N
319;Bandjalang;band;\N
320;Banjarese;banj;\N
321;Banyumasan;bany;\N
322;Baruga;bar;\N
323;Bashkir;bas;\N
324;Batak Toba;bat;\N
325;Baure;bau;\N
326;Bavarian;bav;\N
327;Berbice Creole Dutch;bcd;\N
328;Beja;bej;\N
329;Betawi;bet;\N
330;Bhojpuri;bho;\N
331;Biak;bia;\N
332;Bikol Central;bic;\N
333;Bikol;bik;\N
334;Bintulu;bin;\N
335;Bishnupriya Manipuri;bis;\N
336;Blackfoot;bl;\N
337;Bondei;bon;\N
338;Bor�ro;bor;\N
339;Broome Pearling Lugger Pidgin;bplp;\N
340;Brahui;bra;\N
341;Bribri;bri;\N
342;Bube;bub;\N
343;Buginese;bug;\N
344;Buhid;buh;\N
345;Bulgarian;bul;\N
346;Bunurong;bun;\N
347;Buryat;bur;\N
