Suomi
Viitteet
Italia
Latina
Englanti
Hollanti
Norja
Ruotsi
Tanska
Karjala
Vepsä
Havaiji
Ranska
Turkki
Vatja
Inkeroinen
Kveeni
Pohjoissaame
Kansainvälinen
Viro
Saksa
Espanja
Tšekki
Japani
Korsika
Kroaatti
Portugali
Puola
Romania
Serbia
Sloveeni
Tokelau
Ambrym
Kiribati
Kosrae
Toki pona
Fidži
Liivi
Tuvalu
Unkari
Guarani
Tataari
Rapanui
Fääri
Islanti
Lähteet
Albania
Lyydi
Baski
Latvia
Slovakki
Norja (nynorsk)
Mouk-aria
Suomen romani
Alasaksa
Kymri
Kurdi
Marshalli
Inarinsaame
Indonesia
Aiheesta muualla
Rarotonga
Bretoni
Friisi
Sranan
Tok-Pisin
Buli
Koltansaame
Liettua
Tok-pisin
Katalaani
Gaeli
Iiri
Ponape
Atoni
Sesotho
Arpitaani
Ketšua
Nauru
Uzbekki
Dalmatia
Galego
Pohjoissotho
Retoromaani
Malta
Luxemburg
Preussi
Skotti
Vietnam
Älvdalska
Mapuche
Yakamul
Sisilia
Niue
Samoa
Aceh
Grönlanti
Tahiti
Viron
Muinaisranska
Krimintataari
Normanni
Lampung
Muinaisenglanti
Norja (bokmål)
Sunda
Malaiji
Fila
Futuna
Kenyah
Mangareva
Marquesas
Mele
Rennell
Tongareva
Tuamotu
Uvea
Bosnia
Jaava
Malesia
Bugi
Makassar
Wejewa
Dehu
Pennsylvaniansaksa
Saksanalasaksa
Fraasiverbit
Rarutu
Keskienglanti
Norja (riksmål)
Tšamorro
Latgalli
Faliski
Muinaisyläsaksa
Asturia
Oksitaani
Aragonia
Aromania
Pitcairn
Filipino
Vitu
Worrorra
Slovakia
Anakalang
Baliledo
Bintula
Bonfia
Buru
Cheke holo
Geser
Ilokano
Lakalai
Lio
Madura
Melanau
Mori
Mussau
Pyuma
Roti
Rotuma
Rurutu
Sarangani
Woleai
Palau
Venetsia
Bulgaria
Kazakki
Gootti
Malagassi
Venäjä
Mongoli
Ukraina
Kreikka
Misima
Mor
Morni
Muinaisnorja
Keskiranska
Mandariinikiina
Kiina
Yap
Marikopa
Kantoninkiina
Wuvulu
Makua
Makedonia
Slovio
Muinaisprovensaali
Johdokset
Bare'e
Bugotu
Iliun
Maewo
Santa ana
To'ambaita
Gari
Nguna
Norfolk
Korea
Manksi
Valloni
Mandariini
Turkmeeni
Extremadura
Kotti
Gagauzi
Hiligaino
Verbit
Muinaisskandinaavi
Abaknoni
Ruotsin
Armenia
Jagoi
Dupaninganinagta
Keskibikol
Limosinkalinga
Serbokroaatti
Winaray
Babine-witsuwiten
Lavukali
Muinaisiiri
Shipibo
Chuuk
Karoliini
Muinaisruotsi
Alasorbi
Valkovenäjä
Udmurtti
Lähde
Leon
Tuva
Länsifriisi
Wymysorys
Krimin tataari
Komi
Ersä
Mokša
Mirandeesi
Sakas
Englantii
Elsassi
Keskiyläsaksa
Luangiua
Maleu
Raga
Tabar
Tanna
Aimara
Mono
Burgundi
ndjk
kjwfci
Tanskan
Zaza
Napoli
Kirjanorja
Uusnorja
Isnak
Itavit
Englani
Yhdysverbit
Tansaka
Kanala
Arabia
Turki
Persia
Heprea
Turk
Sleesia
Limburg
Friuli
Korni
Scotti
Katso myös
Sardi
Esparanto
Latiana
Jakuutti
Dolgaani
Abhaasi
Baškiiri
Osseetti
Kirgiisi
Tadžikki
Klassinen nahuatl
Muinaisalasaksi
Kinjaruanda
Haitinkreoli
Montenegro
Lempinimet
Portugal
Serbokroatti
bosnia
Erisnimi
Vito
