'Are'are;alu
Armenian;hy
Aromanian;rup
Arop-Lokep;apr
Arop-Sissano;aps
Arosi;aia
Arta;atz
Aruá;arx
Arua;aru
Aruamu;msy
Aruek;aur
Aruop;lsr
As;asz
Asaro'o;mtv
Ashéninka Pajonal;cjo
Ashéninka Perené;prq
Asháninka;cni
Ashe;ahs
Ashkun;ask
Asi;bno
Asilulu;asl
Askopan;eiv
Asoa;asv
Assamese;as
Assan;xss
Assiniboine;asb
Assyrian Neo-Aramaic;aii
Asturian;ast
Asu;aum
Asumboa;aua
Asunción Mixtepec Zapotec;zoo
Asuri;asr
Ata Manobo;atd
Ata;atm
Atakapa;aqp
Atampaya;amz
Atatláhuca Mixtec;mib
Atayal;tay
Atemble;ate
Ateso;teo
Athpare;aph
Ati;atk
Atikamekw;atj
Atohwaim;aqm
Atong (Cameroon);ato
Atong (India);aot
Atorada;aox
Atsahuaca;atc
Atsam;cch
Atsugewi;atw
Attapady Kurumba;pkr
Attié;ati
Au;avt
Auhelawa;kud
Aukan;djk
Aulua;aul
Aurá;aux
Aushi;auh
Aushiri;avs
Auslan;asf
Austral;aut
Australian Aboriginal Sign Language;asw
Australian Kriol;rop
Austrian Sign Language;asq
Austronesian Mari;hob
Auwe;smf
Auyana;auy
Auye;auu
Auyokawa;auo
Avá-Canoeiro;avv
Avar;av
Avatime;avn
Avau;avb
Avava;tmb
Avestan;ae
Avikam;avi
Avokaya;avu
Awa-Cuaiquer;kwi
Awa (China);vwa
Awa (New Guinea);awb
Awabakal;awk
Awadhi;awa
Awak;awo
Awar;aya
Awara;awx
Awbono;awh
Aweer;bob
Awera;awr
Awetí;awe
Awing;azo
Awjila;auj
Awngi;awn
Awngthim;gwm
Awtuw;kmn
Awun;aww
Awutu;afu
Awyi;auw
Axamb;ahb
Ayabadhu;ayd
Ayere;aye
Ayerrerenge;axe
Ayi;ayq
Ayizo;ayb
Aymara;ay
Ayoquesco Zapotec;zaf
Ayoreo;ayo
Ayu;ayu
Ayutla Mixtec;miy
Azeri;az
Azha;aza
Azoyú Me'phaa;tpc
Baagandji;drl
Baan;bvj
Baangi;bqx
Baatonum;bba
Baba Malay;mbf
Baba;bbw
Babango;bbm
Babanki;bbk
Babatana;baa
Babine-Witsuwit'en;bcr
Babole;bvx
Babungo;bav
Babuza;bzg
Bacama;bcy
Bacanese Malay;btj
Bactrian;xbc
Bada;bhz
Badaga;bfq
Badanchi;bau
Bade;bde
Badeshi;bdz
Badimaya;bia
Baduy;bac
Badyara;pbp
Baeggu;bvd
Baekje;pkc
Baelelea;bvc
Baetora;btr
Bafanji;bfj
Bafaw;bwt
Bafia;ksf
Bafut;bfd
Baga Kaloum;bqf
Baga Koga;bgo
Baga Manduri;bmd
Baga Pokur;bcg
Baga Sitemu;bsp
Baga Sobané;bsv
Bagheli;bfy
Bagirmi;bmi
Bagri;bgq
Bagupi;bpi
Bagusa;bqb
Bagvalal;kva
Baham;bdw
Bahamian Creole;bah
Baharna Arabic;abv
Bahau;bhv
Bahinemo;bjh
Bahing;bhj
Bahnar;bdq
Bahonsuai;bsu
Bai;bdj
Baibai;bbf
Baikeno;bkx
Baimak;bmx
Bainouk-Gunyaamolo;bcz
Bainouk-Gunyuño;bab
Bainouk-Samik;bcb
Baiso;bsw
Baissa Fali;fah
Bajan;bjs
Bajelani;bjm
Bajjika;vjk
Baka;bkc
Bakairí;bkq
Bakaka;bqz
Bakhtiari;bqi
Baki;bki
Bakoko;bkh
Bakole;kme
Bakpinka;bbs
Bakulung;bbu
Bakumpai;bkr
Bakung;xkl
Bakwé;bjw
Balaesang;bls
Balangao;blw
Balangingi;sse
Balanta-Ganja;bjt
Balanta-Kentohe;ble
Balantak;blz
Balau;blg
Baldemu;bdn
Bali;bcp
Balinese Malay;mhp
Balinese;ban
Balkan Gagauz Turkish;bgx
Balkan Romani;rmn
Balo;bqo
Baloi;biz
Balti;bft
Baltic Romani;rml
Baluan-Pam;blq
Baluchi;bal
Bamali;bbq
Bambalang;bmo
Bambam;ptu
Bambara;bm
Bambassi;myf
Bambili-Bambui;baw
Bamenyam;bce
Bamu;bcf
Bamukumbit;bqt
Bamum;bax
Bamunka;bvm
Bamwe;bmg
Bana;bcw
Banao Itneg;bjx
Banaro;byz
Banda-Bambari;liy
Banda-Banda;bpd
Banda-Mbrès;bqk
Banda-Ndélé;bfl
Banda Malay;bpq
Banda;bnd
Bandi;bza
Bandial;bqj
Bandjalang;bdy
Bangala;bxg
Bangandu;bgf
Bangba;bbe
Banggai;bgz
Bangi;bni
Bangime;dba
Bangka;mfb
Bangolan;bgj
Bangubangu;bnx
Bangwinji;bsj
Baniva;bvv
Baniwa;bwi
Banjarese;bjn
Banka;bxw
Bankan Tey Dogon;dbw
Bankon;abb
Banoni;bcm
Bantawa;bap
Bantayanon;bfx
Bantik;bnq
Baoule;bci
Barí;mot
Baré;bae
Baraamu;brd
Barai;bbb
Barakai;baj
Baram Kayan;kys
Barama;bbg
Barambu;brm
Baramu;bmz
Barapasi;brp
Baras;brs
Barasana;bsn
Barbareño;boi
Barclayville Grebo;gry
Bardi;bcj
Barein;bva
Bargam;mlp
Bari;bfa
Bariai;bch
Bariji;bjc
Barikanchi;bxo
Barikewa;jbk
Barngarla;bjb
Barok;bjk
Barombi;bbi
Barrow Point;bpt
Baruga;bjz
Baruya;byr
Barwe;bwg
Barzani Jewish Neo-Aramaic;bjf
Basa-Gumna;bsl
Basa-Gurmana;buj
Basa;bzw
Basaa;bas
Basap;bdb
Basay;byq
Bashkardi;bsg
Bashkir;ba
Basketo;bst
Basque;eu
Bassa-Kontagora;bsr
Bassa;bsq
Bassari;bsc
Bassossi;bsi
Bata;bta
Bataan Ayta;ayt
Batad Ifugao;ifb
Batanga;bnm
Batek;btq
Bateri;btv
Bathari;bhm
Bati (Cameroon);btc
Bati (Indonesia);bvt
Bats;bbl
Batu;btu
Batui;zbt
Batuley;bay
Bau Bidayuh;sne
Bau;bbd
Bauchi;bsf
Baure;brg
Bauria;bge
Bauro;bxa
Bauwaki;bwk
Bauzi;bvz
Bavarian;bar
Bawm Chin;bgr
Bay Miwok;mkq
Bayali;bjy
Baybayanon;bvy
Baygo;byg
Bayono;byl
Bayot;bda
Bayungu;bxj
Beami;beo
Beaver;bea
Beba;bfp
Bebe;bzv
Bebele;beb
Bebeli;bek
Bebil;bxp
Bedik;tnr
Bedjond;bjv
Bedoanas;bed
Beeke;bkf
Beele;bxq
Beembe;beq
Beezen;bnz
Befang;bby
Begbere-Ejar;bqv
Beja;bej
Bekati';bei
Bekwarra;bkv
Bekwel;bkw
Belait;beg
Belanda Bor;bxb
Belanda Viri;bvi
Belarusian;be
Belhariya;byw
Beli;blm
Belizean Creole;bzj
Bella Coola;blc
Bellari;brw
Bemba;bem
Bembe;bmb
Ben Tey;dbt
Bena;yun
Benabena;bef
Bench;bcq
Bende;bdp
Bendi;bct
Beneraf;bnv
Beng;nhb
Benga;bng
Bengali;bn
Benggoi;bgy
Bentong;bnu
Benyadu';byd
Bepour;bie
Bera;brf
Berakou;bxv
Berau Malay;bve
Berawan;lod
Berbice Creole Dutch;brc
Berik;bkl
Berinomo;bit
Berom;bom
Berta;wti
Berti;byt
Besisi;mhe
Besme;bes
Besoa;bep
Betaf;bfe
Betawi;bew
Bete-Bendi;btt
Bete;byf
Betta Kurumba;xub
Bezhta;kap
Bhadrawahi;bhd
Bharia;bha
Bhatri;bgw
Bhattiyali;bht
Bhele;bhy
Bhilali;bhi
Bhili;bhb
Bhojpuri;bho
Bhunjia;bhu
Biafada;bif
Biage;bdf
Biak;bhw
Biali;beh
Bian Marind;bpv
Biangai;big
Biao-Jiao Mien;bje
Biao;byk
Biatah Bidayuh;bth
Bibaali;bcn
Bidiyo;bid
Bidyara;bym
Bidyogo;bjg
Biem;bmc
Bierebo;bnk
Bieria;brj
Biete;biu
Big Nambas;nmb
Biga;bhc
Bigambal;xbe
Bih;ibh
Bihari;bh
Bijori;bix
Bikaru;bic
Bikol Central;bcl
Bikya;byb
Bila;bip
Bilakura;bql
Bilaspuri;kfs
Bilba;bpz
Bilbil;brz
Bile;bil
Biliau;bcu
Biloxi;bll
Bilua;blb
Bilur;bxf
Bima;bhp
Bimin;bhl
Bimoba;bim
Bina;bmn
Binahari;bxz
Binandere;bhg
Binawa;byj
Bine;bon
Binji;bpj
Binongan Itneg;itb
Bintauna;bne
Bintulu;bny
Binukid;bkd
Binumarien;bjr
Bipi;biq
Birao;brr
Birgid;brk
Birgit;btf
Birhor;biy
Biri;bzr
Biritai;bqq
Birri;bvq
Birrpayi;xbj
Birwa;brl
Biseni;ije
Bishnupriya Manipuri;bpy
Bishuo;bwh
Bisis;bnw
Bislama;bi
Bisorio;bir
Bissa;bib
Bisu;bzi
Bit;bgk
Bitare;brt
Biwat;bwm
Biyo;byo
Biyom;bpm
Blablanga;blp
Blackfoot;bla
Blafe;bfh
Blagar;beu
Blang;blr
Blin;byn
Bo-Rukul;mae
Boano (Maluku);bzn
Boano (Sulawesi);bzl
Bobongko;bgb
Bobot;bty
Bodo (Central Africa);boy
Bodo (India);brx
Bodo Gadaba;gbj
Bodo Parja;bdv
Bofi;bff
Boga;bvw
Bogaya;boq
Boghom;bux
Boguru;bqu
