Quapaw;qua
Serer;srr
Tsuut'ina;srs
Suruí;sru
Waray Sorsogon;srv
Sera;sry
Shahmirzadi;srz
Southern Sama;ssb
Suba-Simbiti;ssc
Siroi;ssd
Balangingi;sse
Thao;ssf
Seimat;ssg
Shihhi Arabic;ssh
Sausi;ssj
Western Sisaala;ssl
Sissano;sso
So'a;ssq
Sinasina;sst
Susuami;ssu
Shark Bay;ssv
Samberigi;ssx
Saho;ssy
Sengseng;ssz
Northern Subanen;stb
Seta;stf
Shelta;sth
Bulo Stieng;sti
Matya Samo;stj
Arammba;stk
Setaman;stm
Owa;stn
Stoney;sto
Southeastern Tepehuan;stp
Saterland Frisian;stq
Saanich;str
Shumashti;sts
Silt'e;stv
Satawalese;stw
Siberian Tatar;sty
Suku;sub
Western Subanon;suc
Suena;sue
Suganga;sug
Suki;sui
Sukuma;suk
Mwaghavul;sur
Susu;sus
Subtiaba;sut
Puroik;suv
Sumbwa;suw
Sumerian;sux
Suyá;suy
Sunwar;suz
Svan;sva
Ulau-Suain;svb
Vincentian Creole English;svc
Slavomolisano;svm
Savosavo;svs
Skalvian;svx
Maore Comorian;swb
Sere;swf
Swabian;swg
Sui;swi
Sira;swj
Samosa;swm
Shanenawa;swo
Sharwa;swq
Sowa;sww
Sarua;swy
Suba;sxb
Sighu;sxe
Shixing;sxg
Selonian;sxl
Sangir;sxn
Saaroa;sxr
Sasaru;sxs
Saxwe Gbe;sxw
Central Subanen;syb
Classical Syriac;syc
Seki;syi
Sukur;syk
Sylheti;syl
Maya Samo;sym
Sinyar;sys
Kagate;syw
Osamayi;syx
Semelai;sza
Ngalum;szb
Seru;szd
Seze;sze
Sengele;szg
Silesian;szl
Sula;szn
Suabo;szp
Isubu;szv
Sawai;szw
Sakizaya;szy
Lower Tanana;taa
Tabasaran;tab
Lowland Tarahumara;tac
Tause;tad
Tariana;tae
Tapirapé;taf
Tagoi;tag
Eastern Tamang;taj
Tala;tak
Tal;tal
Tangale;tan
Yami;tao
Taabwa;tap
Central Tarahumara;tar
Tây Bồi;tas
Upper Tanana;tau
Tatuyo;tav
Tai;taw
Tamki;tax
Atayal;tay
Tocho;taz
Aikanã;tba
Takia;tbc
Kaki Ae;tbd
Tanimbili;tbe
Mandara;tbf
Gaam;tbi
Tiang;tbj
Calamian Tagbanwa;tbk
Tboli;tbl
Tawala;tbo
Taworta;tbp
Tanguat;tbs
Kitembo;tbt
Tubar;tbu
Tagbanwa;tbw
Kapin;tbx
Tabaru;tby
Ticuna;tca
Tanacross;tcb
Datooga;tcc
Southern Tutchone;tce
Malinaltepec Tlapanec;tcf
Turks and Caicos Creole English;tch
Taman (Myanmar);tcl
Taungyo;tco
Torres Strait Creole;tcs
Southeastern Tarahumara;tcu
Tecpatlán Totonac;tcw
Toda;tcx
Tulu;tcy
Panchpargania;tdb
Emberá-Tadó;tdc
Tai Nüa;tdd
Western Tamang;tdg
Tomadino;tdi
Tajio;tdj
Tondano;tdn
Doutai;tds
Tetun Dili;tdt
Tadyawan;tdy
Temiar;tea
Tetete;teb
Tehuelche;teh
Torricelli;tei
Tama (Colombia);ten
Ateso;teo
Tepecano;tep
Tereno;ter
Tengger;tes
Tetum;tet
Tewa;tew
Tulishi;tey
Tetserret;tez
Dena'ina;tfn
Tefaro;tfo
Teribe;tfr
Ternate;tft
Tobilung;tgb
Tigak;tgc
Eastern Gorkha Tamang;tge
Chali;tgf
Tobagonian Creole English;tgh
Tandaganon;tgn
Tangoa;tgp
Nume;tgs
Central Tagbanwa;tgt
Tanggu;tgu
Tingui-Boto;tgv
Tagish;tgx
Kuuk Thaayorre;thd
Northern Tarahumara;thh
Thavung;thm
Thompson;thp
Rana Tharu;thr
Tahltan;tht
Tigre;tig
Timugon Murut;tih
Tikar;tik
Tillamook;til
Tindi;tin
Teop;tio
Tiv;tiv
Tiwi;tiw
Southern Tiwa;tix
Tiruray;tiy
Tunjung;tjg
Tai Laing;tjl
Southern Tujia;tjs
Tjurruru;tju
Chaap Wuurong;tjw
Tukudede;tkd
Takwane;tke
Tukumanféd;tkf
Tokelauan;tkl
Tokunoshima;tkn
Tikopia;tkp
Tee;tkq
Tsakhur;tkr
Ramandi;tks
Upper Necaxa Totonac;tku
Mur Pano;tkv
Teanu;tkw
Southwestern Tepehuan;tla
Tobelo;tlb
Misantla Totonac;tlc
Klingon;tlh
Tlingit;tli
Tolomako;tlm
Filomena Mata-Coahuitlán Totonac;tlp
Tambotalo;tls
Taliabu;tlv
Talysh;tly
Avava;tmb
Toba-Maskoy;tmf
Tuareg;tmh
Tutuba;tmi
Northwestern Tamang;tmk
Taman (Indonesia);tmn
Tasmate;tmt
Tamanaku;tmz
Tacana;tna
Tanimuca-Retuarã;tnc
Maiani;tnh
Tandia;tni
Kwamera;tnk
Lenakel;tnl
North Tanna;tnn
Toromono;tno
Whitesands;tnp
Taíno;tnq
Bedik;tnr
Tenis;tns
Tontemboan;tnt
Tanchangya;tnv
Tonsawang;tnw
Tanema;tnx
Ten'edn;tnz
Toba;tob
Coyutla Totonac;toc
Toma;tod
Tonga (Malawi);tog
Tonga (Zambia);toi
Tojolabal;toj
Toki Pona;tok
Tolowa;tol
Tombulu;tom
Xicotepec de Juárez Totonac;too
Papantla Totonac;top
Highland Totonac;tos
Tho;tou
Upper Taromi;tov
Jemez;tow
Azoyú Me'phaa;tpc
Tarpia;tpf
Tok Pisin;tpi
Tupinambá;tpn
Tuparí;tpr
Tampuan;tpu
Old Tupi;tpw
Acatepec Me'phaa;tpx
Tembé;tqb
Lehali;tql
Tenino;tqn
Western Totonac;tqt
Tonkawa;tqw
Copala Triqui;trc
Trinidadian Creole English;trf
Trió;tri
Traveller Scottish;trl
Tarao;tro
Kokborok;trp
San Martín Itunyoso Triqui;trq
Chicahuaxtla Triqui;trs
Tunggare;trt
Turoyo;tru
Taroko;trv
Torwali;trw
Turung;try
